Subnational,Reporting vacant Oxygen / ICU / Ventilator beds,Comments
Andaman and Nicobar Islands,0,
Andhra Pradesh,1,
Arunachal Pradesh,0,
Assam,0,
Bihar,1,
Chandigarh,1,
Chhattisgarh,1,
Dadra and Nagar Haveli and Daman and Diu,1,
Delhi,1,
Goa,1,
Gujarat,1,
Haryana,1,
Himachal Pradesh,1,
Jammu and Kashmir,0,
Jharkhand,0,
Karnataka,1,
Kerala,1,
Ladakh,0,
Lakshadweep,0,
Madhya Pradesh,1,
Maharashtra,0,Only available for some cities/districts
Manipur,0,
Meghalaya,0,
Mizoram,0,
Nagaland,0,
Odisha,0,
Puducherry,1,
Punjab,1,
Rajasthan,1,
Sikkim,0,
Tamil Nadu,1,
Telangana,1,
Tripura,0,
Uttar Pradesh,0,They are reporting vacant beds without classifying them into oxygen/ICU/ventilator etc.
Uttarakhand,1,
West Bengal,1,
